IATA Code,Airport Name,Country,City,TimeZone
DIA,Doha International Airport,Qatar,Doha,Asia/Qatar
CIS,Canton Island Airport,Kiribati,Canton Island,Pacific/Enderbury
ROP,Rota International Airport,Northern Mariana Islands,Rota,Pacific/Saipan
SPN,Saipan International Airport,Northern Mariana Islands,Saipan,Pacific/Saipan
UAM,Andersen Air Force Base,Guam,Andersen,Pacific/Guam
GUM,Antonio B. Won Pat International Airport,Guam,Agana,Pacific/Guam
TIQ,Tinian International Airport,Northern Mariana Islands,West Tinian,Pacific/Saipan
MAJ,Marshall Islands International Airport,Marshall Islands,Majuro,Pacific/Majuro
\N,Dyess Army Air Field,Marshall Islands,Kwajalein,Pacific/Majuro
KWA,Bucholz Army Air Field,Marshall Islands,Kwajalein,Pacific/Majuro
CXI,Cassidy International Airport,Kiribati,Kiritimati,\N
MDY,Henderson Field,Midway Islands,Midway,Pacific/Midway
TKK,Chuuk International Airport,Micronesia,Chuuk,Pacific/Truk
PNI,Pohnpei International Airport,Micronesia,Pohnpei,Pacific/Ponape
ROR,Babelthuap Airport,Palau,Babelthuap,Pacific/Palau
KSA,Kosrae International Airport,Micronesia,Kosrae,Pacific/Kosrae
YAP,Yap International Airport,Micronesia,Yap,Pacific/Truk
KNH,Kinmen Airport,Taiwan,Kinmen,Asia/Taipei
\N,Pingtung South Airport,Taiwan,Pingtung,Asia/Taipei
\N,Longtan Air Base,Taiwan,Longtang,Asia/Taipei
TTT,Taitung Airport,Taiwan,Fengnin,Asia/Taipei
GNI,Lyudao Airport,Taiwan,Green Island,Asia/Taipei
KHH,Kaohsiung International Airport,Taiwan,Kaohsiung,Asia/Taipei
CYI,Chiayi Airport,Taiwan,Chiayi,Asia/Taipei
KYD,Lanyu Airport,Taiwan,Lanyu,Asia/Taipei
RMQ,Taichung Ching Chuang Kang Airport,Taiwan,Taichung,Asia/Taipei
TNN,Tainan Airport,Taiwan,Tainan,Asia/Taipei
HSZ,Hsinchu Air Base,Taiwan,Hsinchu,Asia/Taipei
MZG,Makung Airport,Taiwan,Makung,Asia/Taipei
\N,Chihhang Air Base,Taiwan,Taitung,Asia/Taipei
PIF,Pingtung North Airport,Taiwan,Pingtung,Asia/Taipei
TSA,Taipei Songshan Airport,Taiwan,Taipei,Asia/Taipei
TPE,Taiwan Taoyuan International Airport,Taiwan,Taipei,Asia/Taipei
WOT,Wang-an Airport,Taiwan,Wang An,Asia/Taipei
HUN,Hualien Airport,Taiwan,Hualien,Asia/Taipei
NRT,Narita International Airport,Japan,Tokyo,Asia/Tokyo
MMJ,Matsumoto Airport,Japan,Matsumoto,Asia/Tokyo
IBR,Hyakuri Airport,Japan,Ibaraki,Asia/Tokyo
MUS,Minami Torishima Airport,Japan,Minami Tori Shima,Asia/Tokyo
IWO,Iwo Jima Airport,Japan,Iwojima,Asia/Tokyo
SHM,Nanki Shirahama Airport,Japan,Nanki-shirahama,Asia/Tokyo
\N,Kohnan Airport,Japan,Kohnan,Asia/Tokyo
OBO,Tokachi-Obihiro Airport,Japan,Obihiro,Asia/Tokyo
CTS,New Chitose Airport,Japan,Sapporo,Asia/Tokyo
HKD,Hakodate Airport,Japan,Hakodate,Asia/Tokyo
\N,Chitose Air Base,Japan,Chitose,Asia/Tokyo
MMB,Memanbetsu Airport,Japan,Memanbetsu,Asia/Tokyo
SHB,Nakashibetsu Airport,Japan,Nakashibetsu,Asia/Tokyo
\N,Tokachi Airport,Japan,Tokachi,Asia/Tokyo
WKJ,Wakkanai Airport,Japan,Wakkanai,Asia/Tokyo
IKI,Iki Airport,Japan,Iki,Asia/Tokyo
UBJ,Yamaguchi Ube Airport,Japan,Yamaguchi,Asia/Tokyo
TSJ,Tsushima Airport,Japan,Tsushima,Asia/Tokyo
MBE,Monbetsu Airport,Japan,Monbetsu,Asia/Tokyo
AKJ,Asahikawa Airport,Japan,Asahikawa,Asia/Tokyo
OIR,Okushiri Airport,Japan,Okushiri,Asia/Tokyo
RIS,Rishiri Airport,Japan,Rishiri Island,Asia/Tokyo
\N,Ashiya Airport,Japan,Ashiya,Asia/Tokyo
KUM,Yakushima Airport,Japan,Yakushima,Asia/Tokyo
FUJ,Fukue Airport,Japan,Fukue,Asia/Tokyo
FUK,Fukuoka Airport,Japan,Fukuoka,Asia/Tokyo
TNE,New Tanegashima Airport,Japan,Tanegashima,Asia/Tokyo
KOJ,Kagoshima Airport,Japan,Kagoshima,Asia/Tokyo
KMI,Miyazaki Airport,Japan,Miyazaki,Asia/Tokyo
\N,Nyutabaru Airport,Japan,Nyutabaru,Asia/Tokyo
OIT,Oita Airport,Japan,Oita,Asia/Tokyo
KKJ,KitakyÅ«shÅ« Airport,Japan,Kitakyushu,Asia/Tokyo
KMJ,Kumamoto Airport,Japan,Kumamoto,Asia/Tokyo
NGS,Nagasaki Airport,Japan,Nagasaki,Asia/Tokyo
\N,Kanoya Airport,Japan,Kanoya,Asia/Tokyo
\N,Tsuiki Air Field,Japan,Tsuiki,Asia/Tokyo
ASJ,Amami Airport,Japan,Amami,Asia/Tokyo
OKE,Okierabu Airport,Japan,Okierabu,Asia/Tokyo
TKN,Tokunoshima Airport,Japan,Tokunoshima,Asia/Tokyo
FKJ,Fukui Airport,Japan,Fukui,Asia/Tokyo
QGU,Gifu Airport,Japan,Gifu,Asia/Tokyo
\N,Hamamatsu Airport,Japan,Hamamatsu,Asia/Tokyo
KMQ,Komatsu Airport,Japan,Kanazawa,Asia/Tokyo
OKI,Oki Airport,Japan,Oki Island,Asia/Tokyo
TOY,Toyama Airport,Japan,Toyama,Asia/Tokyo
\N,Shizuhama Airport,Japan,Yaizu,Asia/Tokyo
HIJ,Hiroshima Airport,Japan,Hiroshima,Asia/Tokyo
OKJ,Okayama Airport,Japan,Okayama,Asia/Tokyo
IZO,Izumo Airport,Japan,Izumo,Asia/Tokyo
\N,Hofu Airport,Japan,Hofu,Asia/Tokyo
YGJ,Miho Yonago Airport,Japan,Miho,Asia/Tokyo
KCZ,KÅchi RyÅma Airport,Japan,Kochi,Asia/Tokyo
MYJ,Matsuyama Airport,Japan,Matsuyama,Asia/Tokyo
ITM,Osaka International Airport,Japan,Osaka,Asia/Tokyo
TTJ,Tottori Airport,Japan,Tottori,Asia/Tokyo
TKS,Tokushima Airport/JMSDF Air Base,Japan,Tokushima,Asia/Tokyo
TAK,Takamatsu Airport,Japan,Takamatsu,Asia/Tokyo
\N,Yao Airport,Japan,Osaka,Asia/Tokyo
\N,Ozuki Airport,Japan,Ozuki,Asia/Tokyo
AOJ,Aomori Airport,Japan,Aomori,Asia/Tokyo
GAJ,Yamagata Airport,Japan,Yamagata,Asia/Tokyo
SDS,Sado Airport,Japan,Sado,Asia/Tokyo
HHE,Hachinohe Airport,Japan,Hachinoe,Asia/Tokyo
HNA,Hanamaki Airport,Japan,Hanamaki,Asia/Tokyo
AXT,Akita Airport,Japan,Akita,Asia/Tokyo
MSJ,Misawa Air Base,Japan,Misawa,Asia/Tokyo
SDJ,Sendai Airport,Japan,Sendai,Asia/Tokyo
\N,Matsushima Air Base,Japan,Matsushima,Asia/Tokyo
NJA,Atsugi Naval Air Facility,Japan,Atsugi,Asia/Tokyo
\N,Tateyama Airport,Japan,Tateyama,Asia/Tokyo
HAC,Hachijojima Airport,Japan,Hachijojima,Asia/Tokyo
\N,Iruma Air Base,Japan,Iruma,Asia/Tokyo
\N,Kisarazu Airport,Japan,Kisarazu,Asia/Tokyo
\N,Shimofusa Airport,Japan,Shimofusa,Asia/Tokyo
OIM,Oshima Airport,Japan,Oshima,Asia/Tokyo
\N,Kastner Army Heliport,Japan,Zama,Asia/Tokyo
HND,Tokyo Haneda International Airport,Japan,Tokyo,Asia/Tokyo
OKO,Yokota Air Base,Japan,Yokota,Asia/Tokyo
KWJ,Gwangju Airport,South Korea,Kwangju,Asia/Seoul
CHN,Jeon Ju Airport (G-703),South Korea,Jhunju,Asia/Seoul
RSU,Yeosu Airport,South Korea,Yeosu,Asia/Seoul
\N,Sokcho Airport,South Korea,Sokch'o,Asia/Seoul
KAG,Gangneung Airport (K-18),South Korea,Kangnung,Asia/Seoul
CJU,Jeju International Airport,South Korea,Cheju,Asia/Seoul
CHF,Jinhae Airbase/Airport (G-813/K-10),South Korea,Chinhae,Asia/Seoul
PUS,Gimhae International Airport,South Korea,Busan,Asia/Seoul
USN,Ulsan Airport,South Korea,Ulsan,Asia/Seoul
\N,A 511 Airport,South Korea,Pyongtaek,Asia/Seoul
SSN,Seoul Air Base (K-16),South Korea,Seoul East,Asia/Seoul
OSN,Osan Air Base,South Korea,Osan,Asia/Seoul
GMP,Gimpo International Airport,South Korea,Seoul,Asia/Seoul
SWU,Suwon Airport,South Korea,Suwon,Asia/Seoul
KPO,Pohang Airport (G-815/K-3),South Korea,Pohang,Asia/Seoul
TAE,Daegu Airport,South Korea,Taegu,Asia/Seoul
YEC,Yecheon Airbase,South Korea,Yechon,Asia/Seoul
OKA,Naha Airport,Japan,Okinawa,Asia/Tokyo
\N,Ie Shima Auxiliary Air Base,Japan,Iejima,Asia/Tokyo
DNA,Kadena Air Base,Japan,Kadena,Asia/Tokyo
ISG,New Ishigaki Airport,Japan,Ishigaki,Asia/Tokyo
UEO,Kumejima Airport,Japan,Kumejima,Asia/Tokyo
MMD,Minami-Daito Airport,Japan,Minami Daito,Asia/Tokyo
MMY,Miyako Airport,Japan,Miyako,Asia/Tokyo
KTD,Kitadaito Airport,Japan,Kitadaito,Asia/Tokyo
SHI,Shimojishima Airport,Japan,Shimojishima,Asia/Tokyo
TRA,Tarama Airport,Japan,Tarama,Asia/Tokyo
RNJ,Yoron Airport,Japan,Yoron,Asia/Tokyo
\N,Futenma Marine Corps Air Station,Japan,Futema,Asia/Tokyo
OGN,Yonaguni Airport,Japan,Yonaguni Jima,Asia/Tokyo
MNL,Ninoy Aquino International Airport,Philippines,Manila,Asia/Manila
CBO,Awang Airport,Philippines,Cotabato,Asia/Manila
\N,Cagayan De Oro Airport,Philippines,Ladag,Asia/Manila
PAG,Pagadian Airport,Philippines,Pagadian,Asia/Manila
GES,General Santos International Airport,Philippines,Romblon,Asia/Manila
ZAM,Zamboanga International Airport,Philippines,Zamboanga,Asia/Manila
BAG,Loakan Airport,Philippines,Baguio,Asia/Manila
DTE,Daet Airport,Philippines,Daet,Asia/Manila
\N,Basa Air Base,Philippines,Floridablanca,Asia/Manila
\N,Lingayen Airport,Philippines,Lingayen,Asia/Manila
SJI,San Jose Airport,Philippines,San Jose,Asia/Manila
\N,Fernando Air Base,Philippines,Lipa,Asia/Manila
MBO,Mamburao Airport,Philippines,Mamburao,Asia/Manila
\N,Vigan Airport,Philippines,Vigan,Asia/Manila
BQA,Dr.Juan C. Angara Airport,Philippines,Baler,Asia/Manila
\N,Bagabag Airport,Philippines,Bagabag,Asia/Manila
TAC,Daniel Z. Romualdez Airport,Philippines,Tacloban,Asia/Manila
BCD,Bacolod-Silay Airport,Philippines,Bacolod,Asia/Manila
DGT,Sibulan Airport,Philippines,Dumaguete,Asia/Manila
MPH,Godofredo P. Ramos Airport,Philippines,Caticlan,Asia/Manila
\N,Guiuan Airport,Philippines,Guiuan,Asia/Manila
ILO,Iloilo International Airport,Philippines,Iloilo,Asia/Manila
KLO,Kalibo International Airport,Philippines,Kalibo,Asia/Manila
PPS,Puerto Princesa Airport,Philippines,Puerto Princesa,Asia/Manila
EUQ,Evelio Javier Airport,Philippines,San Jose,Asia/Manila
COC,Comodoro Pierrestegui Airport,Argentina,Concordia,America/Cordoba
GHU,Gualeguaychu Airport,Argentina,Gualeguaychu,America/Cordoba
JNI,Junin Airport,Argentina,Junin,America/Buenos_Aires
PRA,General Urquiza Airport,Argentina,Parana,America/Cordoba
ROS,Islas Malvinas Airport,Argentina,Rosario,America/Cordoba
SFN,Sauce Viejo Airport,Argentina,Santa Fe,America/Cordoba
AEP,Jorge Newbery Airpark,Argentina,Buenos Aires,America/Buenos_Aires
COR,Ingeniero Ambrosio Taravella Airport,Argentina,Cordoba,America/Cordoba
\N,Chamical Airport,Argentina,Gobernador Gordillo,America/Argentina/La_Rioja
FDO,San Fernando Airport,Argentina,San Fernando,America/Buenos_Aires
\N,Mariano Moreno Airport,Argentina,Jose C. Paz,America/Buenos_Aires
LPG,La Plata Airport,Argentina,La Plata,America/Buenos_Aires
\N,Moron Airport,Argentina,Moron,America/Buenos_Aires
EPA,El Palomar Airport,Argentina,El Palomar,America/Buenos_Aires
HOS,Chos Malal Airport,Argentina,Chosmadal,America/Argentina/Salta
GNR,Dr. Arturo H. Illia Airport,Argentina,Fuerte Gral Roca,America/Argentina/Salta
MDZ,El Plumerillo Airport,Argentina,Mendoza,America/Mendoza
LGS,Comodoro D.R. SalomÃ³n Airport,Argentina,Malargue,America/Mendoza
AFA,Suboficial Ay Santiago Germano Airport,Argentina,San Rafael,America/Mendoza
CTC,Catamarca Airport,Argentina,Catamarca,America/Catamarca
SDE,Vicecomodoro Angel D. La Paz AragonÃ©s Airport,Argentina,Santiago Del Estero,America/Cordoba
\N,Tinogasta Airport,Argentina,Tinogasta,America/Catamarca
IRJ,Capitan V A Almonacid Airport,Argentina,La Rioja,America/Argentina/La_Rioja
\N,Chilecito Airport,Argentina,Chilecito,America/Argentina/La_Rioja
TUC,Teniente Benjamin Matienzo Airport,Argentina,Tucuman,America/Argentina/Tucuman
UAQ,Domingo Faustino Sarmiento Airport,Argentina,San Juan,America/Argentina/San_Juan
RCU,Area De Material Airport,Argentina,Rio Cuarto,America/Cordoba
VDR,Villa Dolores Airport,Argentina,Villa Dolores,America/Cordoba
\N,La Quiaca Airport,Argentina,Laboulaye,America/Jujuy
\N,Marcos Juarez Airport,Argentina,Marcos Juarez,America/Cordoba
VME,Villa Reynolds Airport,Argentina,Villa Reynolds,America/Argentina/San_Luis
LUQ,Brigadier Mayor D Cesar Raul Ojeda Airport,Argentina,San Luis,America/Argentina/San_Luis
CNQ,Corrientes Airport,Argentina,Corrientes,America/Cordoba
RES,Resistencia International Airport,Argentina,Resistencia,America/Cordoba
FMA,Formosa Airport,Argentina,Formosa,America/Cordoba
IGR,Cataratas Del IguazÃº International Airport,Argentina,Iguazu Falls,America/Cordoba
AOL,Paso De Los Libres Airport,Argentina,Paso De Los Libres,America/Cordoba
MCS,Monte Caseros Airport,Argentina,Monte Caseros,America/Cordoba
PSS,Libertador Gral D Jose De San Martin Airport,Argentina,Posadas,America/Cordoba
PRQ,Termal Airport,Argentina,Presidencia R.s.pena,America/Cordoba
SLA,Martin Miguel De Guemes International Airport,Argentina,Salta,America/Argentina/Salta
JUJ,Gobernador Horacio Guzman International Airport,Argentina,Jujuy,America/Jujuy
ORA,OrÃ¡n Airport,Argentina,Oran,America/Argentina/Salta
\N,Laboulaye Airport,Argentina,La Quiaca,America/Cordoba
ELO,El Dorado Airport,Argentina,El Dorado,America/Cordoba
OYA,Goya Airport,Argentina,Goya,America/Cordoba
\N,OberÃ¡ Airport,Argentina,Obera,America/Cordoba
RCQ,Reconquista Airport,Argentina,Reconquista,America/Cordoba
UZU,Curuzu Cuatia Airport,Argentina,Curuzu Cuatia,America/Cordoba
EHL,El Bolson Airport,Argentina,El Bolson,America/Argentina/Salta
CRD,General E. Mosconi Airport,Argentina,Comodoro Rivadavia,America/Catamarca
EQS,Brigadier Antonio Parodi Airport,Argentina,Esquel,America/Catamarca
REL,Almirante Marco Andres Zar Airport,Argentina,Trelew,America/Catamarca
VDM,Gobernador Castello Airport,Argentina,Viedma,America/Argentina/Salta
PMY,El Tehuelche Airport,Argentina,Puerto Madryn,America/Catamarca
\N,Marambio Base,Antarctica,Marambio Base,Antarctica/South_Pole
PUD,Puerto Deseado Airport,Argentina,Puerto Deseado,America/Argentina/Rio_Gallegos
RGA,Hermes Quijada International Airport,Argentina,Rio Grande,America/Argentina/Ushuaia
RGL,Piloto Civil N. FernÃ¡ndez Airport,Argentina,Rio Gallegos,America/Argentina/Rio_Gallegos
USH,Malvinas Argentinas Airport,Argentina,Ushuaia,America/Argentina/Ushuaia
ULA,Capitan D Daniel Vazquez Airport,Argentina,San Julian,America/Argentina/Rio_Gallegos
PMQ,Perito Moreno Airport,Argentina,Perito Moreno,America/Argentina/Rio_Gallegos
RZA,Santa Cruz Airport,Argentina,Santa Cruz,America/Argentina/Rio_Gallegos
BHI,Comandante Espora Airport,Argentina,Bahia Blanca,America/Buenos_Aires
CSZ,Brigadier D.H.E. Ruiz Airport,Argentina,Colonel Suarez,America/Buenos_Aires
OVR,Olavarria Airport,Argentina,Olavarria,America/Buenos_Aires
GPO,General Pico Airport,Argentina,General Pico,America/Argentina/Salta
OYO,Tres Arroyos Airport,Argentina,Tres Arroyos,America/Buenos_Aires
\N,Bolivar Airport,Argentina,Bolivar,America/Buenos_Aires
MDQ,Ãstor Piazzola International Airport,Argentina,Mar Del Plata,America/Buenos_Aires
NQN,Presidente Peron Airport,Argentina,Neuquen,America/Argentina/Salta
PEH,Comodoro Pedro Zanni Airport,Argentina,Pehuajo,America/Buenos_Aires
RSA,Santa Rosa Airport,Argentina,Santa Rosa,America/Argentina/Salta
BRC,San Carlos De Bariloche Airport,Argentina,San Carlos De Bariloche,America/Argentina/Salta
TDL,HÃ©roes De Malvinas Airport,Argentina,Tandil,America/Buenos_Aires
VLG,Villa Gesell Airport,Argentina,Villa Gesell,America/Buenos_Aires
CUT,Cutral-Co Airport,Argentina,Cutralco,America/Argentina/Salta
CPC,Aviador C. Campos Airport,Argentina,San Martin Des Andes,America/Argentina/Salta
CDJ,ConceiÃ§Ã£o do Araguaia Airport,Brazil,Conceicao Do Araguaia,America/Belem
\N,Campo DÃ©lio Jardim de Mattos Airport,Brazil,Rio De Janeiro,America/Sao_Paulo
\N,AmapÃ¡ Airport,Brazil,Amapa,America/Fortaleza
AQA,Araraquara Airport,Brazil,Araracuara,America/Sao_Paulo
AJU,Santa Maria Airport,Brazil,Aracaju,America/Fortaleza
AFL,Piloto Osvaldo Marques Dias Airport,Brazil,Alta Floresta,America/Campo_Grande
ARU,AraÃ§atuba Airport,Brazil,Aracatuba,America/Sao_Paulo
BEL,Val de Cans/JÃºlio Cezar Ribeiro International Airport,Brazil,Belem,America/Belem
BGX,Comandante Gustavo Kraemer Airport,Brazil,Bage,America/Sao_Paulo
PLU,Pampulha - Carlos Drummond de Andrade Airport,Brazil,Belo Horizonte,America/Sao_Paulo
BFH,Bacacheri Airport,Brazil,Curitiba,America/Sao_Paulo
\N,Major Brigadeiro Doorgal Borges Airport,Brazil,Barbacena,America/Sao_Paulo
BSB,Presidente Juscelino Kubistschek International Airport,Brazil,Brasilia,America/Sao_Paulo
BAU,Bauru Airport,Brazil,Bauru,America/Sao_Paulo
BVB,Atlas Brasil Cantanhede Airport,Brazil,Boa Vista,America/Boa_Vista
BPG,Barra do GarÃ§as Airport,Brazil,Barra Do Garcas,America/Campo_Grande
CAC,Cascavel Airport,Brazil,Cascavel,America/Sao_Paulo
\N,Cachimbo Airport,Brazil,Itaituba,America/Belem
CNF,Tancredo Neves International Airport,Brazil,Belo Horizonte,America/Sao_Paulo
CGR,Campo Grande Airport,Brazil,Campo Grande,America/Campo_Grande
XAP,Serafin Enoss Bertaso Airport,Brazil,Chapeco,America/Sao_Paulo
CLN,Brig. Lysias Augusto Rodrigues Airport,Brazil,Carolina,America/Fortaleza
CCM,DiomÃ­cio Freitas Airport,Brazil,Criciuma,America/Sao_Paulo
\N,Canoas Air Force Base,Brazil,Porto Alegre,America/Sao_Paulo
CAW,Bartolomeu Lisandro Airport,Brazil,Campos,America/Sao_Paulo
CMG,CorumbÃ¡ International Airport,Brazil,Corumba,America/Campo_Grande
CWB,Afonso Pena Airport,Brazil,Curitiba,America/Sao_Paulo
CRQ,Caravelas Airport,Brazil,Caravelas,America/Fortaleza
CXJ,Hugo Cantergiani Regional Airport,Brazil,Caxias Do Sul,America/Sao_Paulo
CGB,Marechal Rondon Airport,Brazil,Cuiaba,America/Campo_Grande
CZS,Cruzeiro do Sul Airport,Brazil,Cruzeiro do Sul,America/Rio_Branco
PPB,Presidente Prudente Airport,Brazil,President Prudente,America/Sao_Paulo
MAO,Eduardo Gomes International Airport,Brazil,Manaus,America/Boa_Vista
JCR,Jacareacanga Airport,Brazil,Jacare-acanga,America/Belem
\N,SÃ£o Pedro da Aldeia Airport,Brazil,Sao Pedro Da Aldeia,America/Sao_Paulo
IGU,Cataratas International Airport,Brazil,Foz Do Iguacu,America/Sao_Paulo
FLN,HercÃ­lio Luz International Airport,Brazil,Florianopolis,America/Sao_Paulo
FEN,Fernando de Noronha Airport,Brazil,Fernando Do Noronha,America/Fortaleza
\N,Furnas Airport,Brazil,Alpinopolis,America/Sao_Paulo
FOR,Pinto Martins International Airport,Brazil,Fortaleza,America/Fortaleza
GIG,Rio GaleÃ£o â€“ Tom Jobim International Airport,Brazil,Rio De Janeiro,America/Sao_Paulo
GJM,GuajarÃ¡-Mirim Airport,Brazil,Guajara-mirim,America/Boa_Vista
GYN,Santa Genoveva Airport,Brazil,Goiania,America/Sao_Paulo
\N,EMBRAER - Unidade GaviÃ£o Peixoto Airport,Brazil,Macae,America/Sao_Paulo
GRU,Guarulhos - Governador AndrÃ© Franco Montoro International Airport,Brazil,Sao Paulo,America/Sao_Paulo
GUJ,GuaratinguetÃ¡ Airport,Brazil,Guaratingueta,America/Sao_Paulo
ATM,Altamira Airport,Brazil,Altamira,America/Belem
ITA,Itacoatiara Airport,Brazil,Itaituba,America/Boa_Vista
ITB,Itaituba Airport,Brazil,Itaituba,America/Belem
IOS,Bahia - Jorge Amado Airport,Brazil,Ilheus,America/Fortaleza
IPN,Usiminas Airport,Brazil,Ipatinga,America/Sao_Paulo
ITR,Francisco Vilela do Amaral Airport,Brazil,Itumbiara,America/Sao_Paulo
IMP,Prefeito Renato Moreira Airport,Brazil,Imperatriz,America/Fortaleza
\N,BelÃ©m/Brigadeiro ProtÃ¡sio de Oliveira Airport,Brazil,Belem,America/Belem
JDF,Francisco de Assis Airport,Brazil,Juiz De Fora,America/Sao_Paulo
JPA,Presidente Castro Pinto International Airport,Brazil,Joao Pessoa,America/Fortaleza
JOI,Lauro Carneiro de Loyola Airport,Brazil,Joinville,America/Sao_Paulo
CPV,Presidente JoÃ£o Suassuna Airport,Brazil,Campina Grande,America/Fortaleza
VCP,Viracopos International Airport,Brazil,Campinas,America/Sao_Paulo
LAJ,Lages Airport,Brazil,Lajes,America/Sao_Paulo
LIP,Lins Airport,Brazil,Lins,America/Sao_Paulo
LDB,Governador JosÃ© Richa Airport,Brazil,Londrina,America/Sao_Paulo
LAZ,Bom Jesus da Lapa Airport,Brazil,Bom Jesus Da Lapa,America/Fortaleza
\N,Lagoa Santa Airport,Brazil,Lagoa Santa,America/Sao_Paulo
MAB,JoÃ£o Correa da Rocha Airport,Brazil,Maraba,America/Belem
MEU,Monte Dourado Airport,Brazil,Almeirim,America/Belem
MGF,Regional de MaringÃ¡ - SÃ­lvio Nane Junior Airport,Brazil,Maringa,America/Sao_Paulo
MOC,MÃ¡rio Ribeiro Airport,Brazil,Montes Claros,America/Sao_Paulo
PLL,Ponta Pelada Airport,Brazil,Manaus,America/Boa_Vista
MCZ,Zumbi dos Palmares Airport,Brazil,Maceio,America/Fortaleza
MCP,Alberto Alcolumbre Airport,Brazil,Macapa,America/Fortaleza
MVF,Dix-Sept Rosado Airport,Brazil,Mocord,America/Fortaleza
\N,Campo de Marte Airport,Brazil,Sao Paulo,America/Sao_Paulo
MNX,ManicorÃ© Airport,Brazil,Manicore,America/Boa_Vista
NVT,Ministro Victor Konder International Airport,Brazil,Navegantes,America/Sao_Paulo
GEL,Santo Ã‚ngelo Airport,Brazil,Santo Angelo,America/Sao_Paulo
NAT,Governador AluÃ­zio Alves International Airport,Brazil,Natal,America/Fortaleza
OYK,Oiapoque Airport,Brazil,Oioiapoque,America/Fortaleza
POA,Salgado Filho Airport,Brazil,Porto Alegre,America/Sao_Paulo
PHB,Prefeito Doutor JoÃ£o Silva Filho Airport,Brazil,Parnaiba,America/Fortaleza
POO,PoÃ§os de Caldas - Embaixador Walther Moreira Salles Airport,Brazil,Pocos De Caldas,America/Sao_Paulo
PFB,Lauro Kurtz Airport,Brazil,Passo Fundo,America/Sao_Paulo
PET,JoÃ£o SimÃµes Lopes Neto International Airport,Brazil,Pelotas,America/Sao_Paulo
PNZ,Senador Nilo Coelho Airport,Brazil,Petrolina,America/Fortaleza
PNB,Porto Nacional Airport,Brazil,Porto Nacional,America/Fortaleza
PMG,Ponta PorÃ£ Airport,Brazil,Ponta Pora,America/Campo_Grande
PVH,Governador Jorge Teixeira de Oliveira Airport,Brazil,Porto Velho,America/Boa_Vista
RBR,PlÃ¡cido de Castro Airport,Brazil,Rio Branco,America/Rio_Branco
REC,Guararapes - Gilberto Freyre International Airport,Brazil,Recife,America/Fortaleza
SDU,Santos Dumont Airport,Brazil,Rio De Janeiro,America/Sao_Paulo
RAO,Leite Lopes Airport,Brazil,Ribeirao Preto,America/Sao_Paulo
SNZ,Santa Cruz Air Force Base,Brazil,Rio De Janeiro,America/Sao_Paulo
SJK,Professor Urbano Ernesto Stumpf Airport,Brazil,Sao Jose Dos Campos,America/Sao_Paulo
SLZ,Marechal Cunha Machado International Airport,Brazil,Sao Luis,America/Fortaleza
CGH,Congonhas Airport,Brazil,Sao Paulo,America/Sao_Paulo
SJP,Prof. Eribelto Manoel Reino State Airport,Brazil,Sao Jose Do Rio Preto,America/Sao_Paulo
SSZ,Base AÃ©rea de Santos Airport,Brazil,Santos,America/Sao_Paulo
SSA,Deputado Luiz Eduardo MagalhÃ£es International Airport,Brazil,Salvador,America/Fortaleza
TMT,Trombetas Airport,Brazil,Oriximina,America/Belem
THE,Senador PetrÃ´nio Portela Airport,Brazil,Teresina,America/Fortaleza
TFF,TefÃ© Airport,Brazil,Tefe,America/Boa_Vista
TRQ,TarauacÃ¡ Airport,Brazil,Tarauaca,America/Rio_Branco
TEC,TelÃªmaco Borba Airport,Brazil,Telemaco Borba,America/Sao_Paulo
\N,TiriÃ³s Airport,Brazil,Obidos Tirios,America/Belem
TBT,Tabatinga Airport,Brazil,Tabatinga,America/Boa_Vista
TUR,TucuruÃ­ Airport,Brazil,Tucurui,America/Belem
SJL,SÃ£o Gabriel da Cachoeira Airport,Brazil,Sao Gabriel,America/Boa_Vista
PAV,Paulo Afonso Airport,Brazil,Paulo Alfonso,America/Fortaleza
URG,Rubem Berta Airport,Brazil,Uruguaiana,America/Sao_Paulo
UDI,Ten. Cel. Aviador CÃ©sar Bombonato Airport,Brazil,Uberlandia,America/Sao_Paulo
UBA,MÃ¡rio de Almeida Franco Airport,Brazil,Uberaba,America/Sao_Paulo
VAG,Major Brigadeiro Trompowsky Airport,Brazil,Varginha,America/Sao_Paulo
BVH,Brigadeiro CamarÃ£o Airport,Brazil,Vilhena,America/Boa_Vista
VIX,Eurico de Aguiar Salles Airport,Brazil,Vitoria,America/Sao_Paulo
\N,IauaretÃª Airport,Brazil,Iauarete,America/Boa_Vista
QPS,Campo Fontenelle Airport,Brazil,Piracununga,America/Sao_Paulo
ARI,Chacalluta Airport,Chile,Arica,America/Santiago
BBA,Balmaceda Airport,Chile,Balmaceda,America/Santiago
\N,El Bosque Airport,Chile,Santiago,America/Santiago
CCH,Chile Chico Airport,Chile,Chile Chico,America/Santiago
CJC,El Loa Airport,Chile,Calama,America/Santiago
YAI,Gral. Bernardo OÂ´Higgins Airport,Chile,Chillan,America/Santiago
PUQ,Pdte. Carlos IbaÃ±ez del Campo Airport,Chile,Punta Arenas,America/Santiago
GXQ,Teniente Vidal Airport,Chile,Coyhaique,America/Santiago
IQQ,Diego Aracena Airport,Chile,Iquique,America/Santiago
